Molecule 1,Molecule 2,Distance
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_64_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_65_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_66_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_67_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_68_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_69_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_6_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_70_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_71_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_72_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_73_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_74_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_75_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_76_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_Te_31_nH,1400.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_Te_32_nH,800.0
CRW_5S_B_Ac_4_nH,CRW_5S_B_Ac_7_nH,200.0
CRW_5S_B_Ac_4_nH,CRW_5S_B_Ac_8_nH,200.0
CRW_5S_B_Ac_4_nH,CRW_5S_B_B_18_nH,0.0
CRW_5S_B_Ac_4_nH,CRW_5S_B_Cy_51_nH,200.0
CRW_5S_B_Ac_4_nH,CRW_5S_B_D_13_nH,0.0
CRW_5S_B_Ac_4_nH,CRW_5S_B_D_14_nH,0.0
CRW_5S_B_Ac_4_nH,CRW_5S_B_D_15_nH,0.0
CRW_5S_B_Ac_4_nH,CRW_5S_B_D_53_nH,200.0
CRW_5S_B_Ac_4_nH,CRW_5S_B_D_54_nH,200.0
CRW_5S_B_Ac_4_nH,CRW_5S_B_D_55_nH,0.0
CRW_5S_B_Ac_4_nH,CRW_5S_B_D_56_nH,200.0
